,Date,State,Total_cases,Total_death,Total_recovered,Death_percent,Recovery_percent
392,2020-07,ND,4891.81,91.23,4800.58,1.86,98.14
393,2020-07,NE,22230.1,297.19,21932.9,1.34,98.66
394,2020-07,NH,6159.29,394.87,5764.42,6.41,93.59
395,2020-07,NJ,178054.65,15562.97,162491.68,8.74,91.26
396,2020-07,NM,16262.42,609.23,15653.19,3.75,96.25
397,2020-07,NV,32827.23,663.61,32163.61,2.02,97.98
398,2020-07,NY,184240.58,8766.19,175474.39,4.76,95.24
399,2020-07,NYC,223625.71,23126.68,200499.03,10.34,89.66
400,2020-07,OH,71100.52,3132.61,67967.9,4.41,95.59
401,2020-07,OK,31658.39,533.39,31125.0,1.68,98.32
402,2020-07,OR,13553.61,253.61,13300.0,1.87,98.13
403,2020-07,PA,103670.68,6972.42,96698.26,6.73,93.27
404,2020-07,PR,5051.06,192.77,4858.29,3.82,96.18
405,2020-07,PW,0.0,0.0,0.0,0.0,0.0
406,2020-07,RI,17682.39,1005.77,16676.61,5.69,94.31
407,2020-07,RMI,0.0,0.0,0.0,0.0,0.0
408,2020-07,SC,64025.13,1218.77,62806.35,1.9,98.1
409,2020-07,SD,7745.0,111.97,7633.03,1.45,98.55
410,2020-07,TN,80594.48,890.94,79703.55,1.11,98.89
411,2020-07,TX,294238.68,6351.32,287887.35,2.16,97.84
412,2020-07,UT,32420.26,236.45,32183.81,0.73,99.27
413,2020-07,VA,76016.58,2000.23,74016.35,2.63,97.37
414,2020-07,VI,249.29,6.45,242.84,2.59,97.41
415,2020-07,VT,1209.0,55.74,1153.26,4.61,95.39
416,2020-07,WA,44496.74,1441.0,43055.74,3.24,96.76
417,2020-07,WI,43693.42,849.84,42843.58,1.95,98.05
418,2020-07,WV,4699.26,100.03,4599.23,2.13,97.87
419,2020-07,WY,2063.87,22.87,2041.0,1.11,98.89
420,2020-08,AK,4232.39,45.48,4186.9,1.07,98.93
421,2020-08,AL,120572.87,2905.87,117667.0,2.41,97.59
422,2020-08,AR,52707.42,615.39,52092.03,1.17,98.83
